gene,value
C2CD2,0.2645173668861389
C2CD2L,1.4786360263824463
C2CD5,-0.14952600002288818
C5,-0.3099215626716614
CAB39,-0.4312197268009186
CALM3,-0.42544877529144287
CALU,0.19603145122528076
CAMSAP2,-0.3335791826248169
CANT1,0.053391218185424805
CAPN1,0.16514575481414795
CASC3,0.4762035608291626
CASK,0.7762008309364319
CASP10,-0.5479126572608948
CASP2,0.13483333587646484
CASP3,0.1193573921918869
CASP7,-0.06901147216558456
CAST,-0.322904109954834
CAT,0.23806431889533997
CBLB,0.21116866171360016
CBR1,0.4823293387889862
CBR3,-0.678936243057251
CCDC85B,0.19251921772956848
CCDC86,-0.2156093716621399
CCDC92,-0.19757312536239624
CCL2,-0.0737985372543335
CCNA1,-0.14455537497997284
CCNA2,0.8996138572692871
CCNB1,-1.8908159732818604
CCNB2,0.29461807012557983
CCND1,0.034303829073905945
CCND3,-0.2557516098022461
CCNE2,0.3373149633407593
CCNF,0.6900824904441833
CCNH,-0.2920992076396942
CCP110,0.5677671432495117
CD320,-0.4043844938278198
CD40,-0.6975290775299072
CD44,1.1695820093154907
CD58,0.7748464345932007
CDC20,0.30889880657196045
CDC25A,0.66361004114151
CDC25B,0.40770506858825684
CDC42,2.041062593460083
CDC45,-0.15912814438343048
CDCA4,0.932997465133667
CDH3,0.6510059833526611
CDK1,-0.8097034096717834
CDK19,1.090970516204834
CDK2,-1.4410080909729004
CDK4,-0.13958868384361267
CDK5R1,0.5335085391998291
CDK6,-0.11521819978952408
CDK7,0.30163177847862244
CDKN1A,-0.03436059504747391
CDKN1B,-0.5683957934379578
CDKN2A,1.6228787899017334
CEBPA,0.004911397118121386
CEBPD,-0.7385591268539429
CEBPZ,0.5693515539169312
CENPE,1.662045955657959
CEP57,-0.46147575974464417
CERK,-0.9436400532722473
CETN3,0.020602166652679443
CFLAR,-0.35607215762138367
CGRRF1,0.10371643304824829
CHAC1,-0.6395919919013977
CHEK1,-0.5631823539733887
CHEK2,0.44001033902168274
CHERP,0.37743258476257324
CHIC2,0.28617241978645325
CHMP4A,0.3073641061782837
CHMP6,-0.5902764797210693
CHN1,-0.14331704378128052
CHP1,-0.24334847927093506
CIAPIN1,-0.22561080753803253
CIRBP,-0.037917256355285645
CISD1,-0.39061373472213745
CLIC4,0.21882951259613037
CLPX,0.5878951549530029
CLSTN1,-1.063537836074829
CLTB,0.19690591096878052
CLTC,0.45602500438690186
CNDP2,0.1440112441778183
CNOT4,0.13664337992668152
CNPY3,-1.169955849647522
COASY,-0.09521345794200897
COG2,-0.5805987119674683
COG4,0.7134734988212585
COG7,-0.3195052742958069
COL1A1,-0.07385364174842834
COL4A1,-0.4502592086791992
COPB2,1.3349107503890991
COPS7A,1.6834036111831665
CORO1A,-0.9680548906326294
CPNE3,0.11106672883033752
CPSF4,1.6924843788146973
CREB1,-1.6031442880630493
CREG1,0.370391845703125
CRELD2,-0.8686095476150513
CRK,-0.6138865947723389
CRKL,-0.19706976413726807
CRTAP,0.6722334027290344
CRYZ,-0.564315676689148
CSK,0.9381170868873596
CSNK1A1,-0.5477753281593323
CSNK1E,-0.6829790472984314
CSNK2A2,-0.07119689881801605
CSRP1,-0.14441338181495667
CTNNAL1,1.1039327383041382
CTNND1,-2.1536617279052734
CTSD,-0.6160754561424255
CTSL,0.47702884674072266
CTTN,-0.2762569189071655
CXCL2,0.5550392866134644
CXCR4,-0.8377476334571838
CYB561,0.677119255065918
CYCS,-1.4861688613891602
CYTH1,-0.3925133943557739
DAG1,0.7718451619148254
DAXX,0.13388222455978394
DCK,1.0319197177886963
DCTD,0.46629685163497925
DCUN1D4,0.051208436489105225
