gene,value
CSK,-0.06804794073104858
CSNK1A1,-0.1639997959136963
CSNK1E,0.05763903260231018
CSNK2A2,-0.04124578833580017
CSRP1,-2.6490578651428223
CTNNAL1,1.698009967803955
CTNND1,-0.44898220896720886
CTSD,-0.0020848512649536133
CTSL,0.3580651879310608
CTTN,-0.09460337460041046
CXCL2,0.18388278782367706
CXCR4,-0.1820264458656311
CYB561,0.42162030935287476
CYCS,0.23877140879631042
CYTH1,0.01413031667470932
DAG1,0.6876671314239502
DAXX,0.08400112390518188
DCK,0.07603283226490021
DCTD,-0.021691083908081055
DCUN1D4,-1.020586371421814
DDB2,0.22442510724067688
DDIT4,-0.6756245493888855
DDR1,0.05945809185504913
DDX10,1.5746105909347534
DDX42,0.7964320182800293
DECR1,0.6395280361175537
DENND2D,-0.36701202392578125
DERA,0.5379937291145325
DFFA,-0.526421844959259
DFFB,-0.14761415123939514
DHDDS,-0.32945722341537476
DHRS7,-1.543702244758606
DHX29,0.06210481375455856
DLD,0.08200624585151672
DMTF1,-0.5691362023353577
DNAJA3,0.04571631923317909
DNAJB1,-0.4557059407234192
DNAJB2,0.15066403150558472
DNAJB6,-0.2626546621322632
DNAJC15,-0.21788707375526428
DNM1,-0.2068847417831421
DNM1L,-0.43622875213623047
DNMT1,-0.07143191993236542
DNMT3A,-1.1158488988876343
DNTTIP2,-0.17573289573192596
DPH2,0.036766864359378815
DRAP1,0.46092984080314636
DSG2,-0.5133011937141418
DUSP11,-0.13549217581748962
DUSP14,-0.41804176568984985
DUSP22,0.6157306432723999
DUSP3,-1.110767126083374
DUSP4,0.11989697813987732
DUSP6,-0.11807598173618317
DYNLT3,1.085554838180542
DYRK3,0.10725948214530945
E2F2,0.06697380542755127
EAPP,-0.04462447017431259
EBNA1BP2,0.3644065260887146
EBP,0.7833114862442017
ECD,-0.13237695395946503
ECH1,-0.0427095890045166
EDEM1,-0.29707884788513184
EDN1,-0.12561899423599243
EED,0.2144346833229065
EFCAB14,-0.6495168805122375
EGF,0.16984033584594727
EGFR,0.2005326747894287
EGR1,0.18137645721435547
EIF4EBP1,-0.061657074838876724
EIF4G1,-0.6150065064430237
EIF5,-0.0986696407198906
ELAC2,0.0113288015127182
ELAVL1,-0.23554828763008118
ELOVL6,0.3324223458766937
EML3,0.19013726711273193
ENOPH1,0.4242551624774933
ENOSF1,0.11014097929000854
EPB41L2,0.6487179398536682
EPHA3,0.4613282084465027
EPHB2,-0.20490410923957825
EPN2,0.6623514890670776
EPRS,-0.09263388812541962
ERBB2,-0.3599810302257538
ERBB3,0.28638756275177
ERO1A,-0.3696216344833374
ETFB,0.22787506878376007
ETS1,-0.856561541557312
ETV1,-0.17955434322357178
EVL,0.25334614515304565
EXOSC4,-0.7697747945785522
EXT1,-0.0950278788805008
EZH2,-0.4260544180870056
FAH,-0.09497299045324326
FAIM,1.1043803691864014
FAM20B,-0.0369952917098999
FAM57A,0.262079119682312
FAM63A,0.8812081813812256
FAM69A,-0.7043628096580505
FAS,-0.024801105260849
FASTKD5,-0.2139991968870163
FAT1,0.01724657416343689
FBXL12,0.374217689037323
FBXO11,-0.3103671073913574
FBXO21,-0.022441595792770386
FBXO7,0.6377597451210022
FCHO1,-0.2585412263870239
FDFT1,0.3519894480705261
FEZ2,0.5136682987213135
FGFR2,0.171171635389328
FGFR4,0.6715928316116333
FHL2,-0.264900803565979
FIS1,0.14430296421051025
FKBP14,2.971869945526123
FKBP4,-0.16953516006469727
FOS,0.14110182225704193
FOSL1,-0.25853633880615234
FOXJ3,1.0677684545516968
FOXO3,-0.32332268357276917
FOXO4,0.2951909899711609
FPGS,0.8264044523239136
FRS2,-0.7168894410133362
FSD1,-0.08573107421398163
FUT1,-0.21677833795547485
FYN,-0.25105661153793335
FZD1,-0.2272379845380783
FZD7,0.3302075266838074
G3BP1,0.5291458964347839
GAA,0.22306564450263977
GABPB1,0.4330223798751831
GADD45A,-0.5637392997741699
GADD45B,-1.587669849395752
GALE,-0.06900107860565186
GAPDH,-0.07155650109052658
GATA2,0.34688204526901245
GATA3,-0.037154555320739746
GDPD5,0.04687464237213135
GFOD1,0.0854763388633728
GFPT1,-0.37982967495918274
GHR,0.32175275683403015
GLI2,-0.9353890419006348
GLOD4,0.4660335183143616
GLRX,-0.014250189065933228
GMNN,0.13414320349693298
GNA11,0.5759729743003845
GNA15,0.09889815747737885
GNAI1,-0.054972194135189056
GNAI2,0.020718231797218323
GNAS,-0.20263250172138214
GNB5,0.3197181522846222
GNPDA1,-0.3215952515602112
GOLT1B,-0.605095386505127
GPATCH8,-0.47514718770980835
GPC1,0.027422577142715454
GPER1,0.021667949855327606
GRB10,-0.06944593787193298
GRB7,0.21109668910503387
GRN,-0.2580421566963196
GRWD1,0.6607996225357056
GSTM2,-1.0484576225280762
GSTZ1,1.1612406969070435
GTF2A2,0.055769555270671844
GTF2E2,0.29015523195266724
GTPBP8,0.14224839210510254
H2AFV,-0.5035364627838135
HACD3,-0.8942575454711914
HADH,-0.6854884624481201
HAT1,-0.4253687262535095
HDAC2,0.26962029933929443
HDAC6,0.27962008118629456
HDGFRP3,-0.3378651440143585
HEATR1,-0.03111964464187622
HEBP1,-0.13290034234523773
HERC6,0.6396130323410034
HERPUD1,-0.052171070128679276
HES1,1.3243494033813477
HIF1A,0.0009960830211639404
HIST1H2BK,-0.6563922166824341
HIST2H2BE,-0.3676556646823883
HK1,0.30268144607543945
HLA-DMA,0.03527991473674774
HLA-DRA,0.1413041204214096
HMG20B,-1.2828686237335205
HMGA2,-0.2040615677833557
HMGCR,0.33317819237709045
HMGCS1,0.2078755497932434
HMOX1,0.009508341550827026
