gene	value
HIST1H2BK	-1.688240647315979
HIST2H2BE	-0.1559312790632248
HK1	-0.06742921471595764
HLA-DMA	-0.2381325513124466
HLA-DRA	-0.3510233163833618
HMG20B	0.3960525691509247
HMGA2	-1.1117758750915527
HMGCR	-0.3385750353336334
HMGCS1	0.10182153433561325
HMOX1	-0.4997345209121704
HN1L	0.7426661252975464
HOMER2	0.8168421387672424
HOOK2	-0.31426042318344116
HOXA10	-0.825210452079773
HOXA5	-0.40907588601112366
HPRT1	0.24343767762184143
HS2ST1	-0.40369394421577454
HSD17B10	0.19646939635276794
HSD17B11	-0.16514351963996887
HSPA1A	0.2581287622451782
HSPA4	-0.1816415786743164
HSPA8	0.27887824177742004
HSPB1	-0.16964668035507202
HSPD1	0.11518421769142151
HTATSF1	-0.5857782363891602
HTRA1	-0.2055928111076355
HYOU1	0.8616714477539062
IARS2	0.685022234916687
ICAM1	-1.0780161619186401
ICAM3	-0.17356109619140625
ICMT	0.37787890434265137
ID2	-0.7992241978645325
IDE	-0.002574056386947632
IER3	-0.4199642241001129
IFNAR1	-0.37776750326156616
IFRD2	-0.10971428453922272
IGF1R	0.4328693747520447
IGF2BP2	0.9846674203872681
IGF2R	-0.11748237907886505
IGFBP3	-0.5247625112533569
IGHMBP2	0.6021515130996704
IKBKAP	0.1321094036102295
IKBKB	-0.021994322538375854
IKBKE	0.35403114557266235
IKZF1	-0.0422038733959198
IL13RA1	0.538000762462616
IL1B	-0.2303524911403656
IL4R	-0.9118695855140686
ILK	-0.6951648592948914
INPP1	0.5538535714149475
INPP4B	0.3207697570323944
INSIG1	-0.40309029817581177
INTS3	0.10201528668403625
IPO13	-0.09295457601547241
IQGAP1	-1.0228700637817383
ISOC1	0.6342429518699646
ITFG1	-0.015301436185836792
ITGAE	0.5972500443458557
ITGB1BP1	0.987988293170929
ITGB5	0.047215014696121216
JADE2	-0.24271008372306824
JMJD6	0.8926495313644409
JUN	-0.8766189813613892
KAT6A	1.0091334581375122
KAT6B	0.3166927695274353
KCNK1	-0.04893384873867035
KCTD5	1.1874191761016846
KDELR2	-0.021325036883354187
KDM3A	0.7614808678627014
KDM5A	0.4268976151943207
KDM5B	-0.5901193618774414
KEAP1	-0.0434858500957489
KIAA0100	0.6063957810401917
KIAA0196	-0.5190539360046387
KIAA0355	-0.14210626482963562
KIAA0753	-0.1292603760957718
KIAA0907	0.9031363725662231
KIAA1033	0.48925864696502686
